,Node,Cores,Start,End,Used_walltime,Used_CPU_time,%User,%System(I/O),Max_mem_used,Max_Disk_Read
L_parva,bigmem5,32,2016-12-21T12:30:38,2016-12-23T07:09:29,1-18:38:51,44-20:28:21,92.61%,7.39%,237.75G,3.72T 
L_goodei,bigmem4,32,2016-12-23T07:09:38,2016-12-25T02:16:47,1-19:07:09,48-04:50:02,90.12%,9.88%,237.75G,3.62T 
F_zebrinus,bigmem3,32,2017-01-06T13:35:01,2017-01-07T07:24:44,17:49:43,18-07:02:57,90.68%,9.32%,237.75G ,2.58T 
F_similis,bigmem3,32,2017-01-04T16:57:35,2017-01-06T13:34:33,1-20:36:58,40-23:17:04,86.50%,13.50%,237.75G,5.12T 
F_sciadicus,bigmem6,32,2017-01-04T05:04:57,2017-01-04T16:57:09,11:52:12,11-01:03:59,82.74%,17.26%,237.75G,2.30T
F_rathbuni,bigmem3,32,2017-01-01T14:14:43,2017-01-02T20:02:42,1-05:47:59,23-16:19:01,81.74%,18.26%,237.74G,4.55T
F_parvapinis,bigmem5,32,2016-12-31T15:23:40,2017-01-01T12:06:07,20:42:27,15-18:11:05,78.00%,22.00%,237.74G ,3.63T
F_olivaceous,bigmem5,32,2016-12-30T07:01:32,2016-12-31T15:23:14,1-08:21:42,30-06:32:31,80.06%,19.94%,237.72G,3.27T
F_notti,bigmem3,32,2017-01-02T20:03:04,2017-01-03T04:21:04,8:18:00,7-07:30:50,85.31%,14.69%,237.75G,1.59T
F_notatus,bigmem5,32,2016-12-20T06:42:39,2016-12-21T10:16:52,1-03:34:13,21-19:10:44,83.91%,16.09%,237.74G,3.59T
F_heteroclitus.MDPP,bigmem3,32,2016-12-14T10:21:50,2016-12-16T18:40:03,2-08:18:13,55-00:59:54,84.16%,15.84%,237.75G,6.20T
F_heteroclitus.MDPL,bigmem4,32,2016-12-07T22:05:36,2016-12-10T18:57:52,2-20:52:16,74-04:11:40,90.87%,9.13%,237.75G,5.04T
F_grandis,,,,,,,,,,
F_diaphanus,bigmem6,32,2017-01-03T08:44:09,2017-01-04T05:04:56,20:20:47,20-09:44:39,81.61%,18.39%,237.75G,3.69T
F_chrysotus,bigmem5,32,2016-12-26T05:34:42,2016-12-27T11:07:28,1-05:32:46,26-03:28:16,88.36%,11.64%,237.74G ,3.52T
F_catanatus,bigmem8,32,2016-12-18T11:43:57,2016-12-19T08:49:51,21:05:54,16-12:02:44,87.21%,12.79%,237.74G,3.48T
A_xenica,bigmem4,32,2016-12-25T02:16:51,2016-12-26T05:34:38,1-03:17:47,27-19:15:46,86.71%,13.29%,237.75G ,3.29T 
