,Complete,Fragmented,Missing,Total,Complete_BUSCO_perc
F_chrysotus,299,3,1,303,0.9867986798679867
F_olivaceous,302,1,0,303,0.9966996699669967
F_zebrinus,301,2,0,303,0.9933993399339934
F_heteroclitusMDPP,301,2,0,303,0.9933993399339934
F_heteroclitusMDPL,300,3,0,303,0.9900990099009901
F_sciadicus,299,2,2,303,0.9867986798679867
F_rathbuni,302,1,0,303,0.9966996699669967
F_diaphanus,301,2,0,303,0.9933993399339934
L_goodei,303,0,0,303,1.0
F_catanatus,301,2,0,303,0.9933993399339934
L_parva,298,4,1,303,0.9834983498349835
F_similis,296,4,3,303,0.976897689768977
F_parvapinis,299,3,1,303,0.9867986798679867
F_grandis,298,5,0,303,0.9834983498349835
A_xenica,302,0,1,303,0.9966996699669967
F_notatus,301,2,0,303,0.9933993399339934
F_notti,299,1,3,303,0.9867986798679867
