,Complete,Fragmented,Missing,Total,Complete_BUSCO_perc
F_chrysotus,966,6,6,978,98.77300613496932
F_olivaceous,961,9,8,978,98.26175869120655
F_zebrinus,964,6,8,978,98.56850715746421
F_heteroclitusMDPP,967,5,6,978,98.87525562372188
F_heteroclitusMDPL,966,7,5,978,98.77300613496932
F_sciadicus,961,8,9,978,98.26175869120655
F_rathbuni,969,2,7,978,99.079754601227
F_diaphanus,966,5,7,978,98.77300613496932
L_goodei,964,9,5,978,98.56850715746421
F_catanatus,966,7,5,978,98.77300613496932
L_parva,963,9,6,978,98.46625766871165
F_similis,963,8,7,978,98.46625766871165
F_parvapinis,970,4,4,978,99.18200408997954
F_grandis,968,7,3,978,98.97750511247445
A_xenica,967,6,5,978,98.87525562372188
F_notatus,969,5,4,978,99.079754601227
F_notti,955,11,12,978,97.6482617586912
