,Complete,Complete/Single-Copy,Complete/Duplicated,Fragmented,Missing,Total,Complete_BUSCO_perc,CompleteSingleCopy_perc,CompleteDuplicated_perc,Fragmented_perc,Missing_perc
F_diaphanus,293,133,160,9,1,303,0.966996699669967,0.4389438943894389,0.528052805280528,0.0297029702970297,0.0033003300330033004
F_sciadicus,301,157,144,2,0,303,0.9933993399339934,0.5181518151815182,0.4752475247524752,0.006600660066006601,0.0
F_chrysotus,294,111,183,9,0,303,0.9702970297029703,0.36633663366336633,0.6039603960396039,0.0297029702970297,0.0
F_zebrinus,295,140,155,6,2,303,0.9735973597359736,0.46204620462046203,0.5115511551155115,0.019801980198019802,0.006600660066006601
F_heteroclitusMDPP,292,120,172,11,0,303,0.9636963696369637,0.39603960396039606,0.5676567656765676,0.036303630363036306,0.0
F_similis,295,139,156,7,1,303,0.9735973597359736,0.45874587458745875,0.5148514851485149,0.0231023102310231,0.0033003300330033004
F_rathbuni,297,98,199,6,0,303,0.9801980198019802,0.3234323432343234,0.6567656765676567,0.019801980198019802,0.0
F_notatus,284,100,184,18,1,303,0.9372937293729373,0.33003300330033003,0.6072607260726073,0.0594059405940594,0.0033003300330033004
F_olivaceous,296,112,184,6,1,303,0.976897689768977,0.3696369636963696,0.6072607260726073,0.019801980198019802,0.0033003300330033004
L_goodei,290,127,163,13,0,303,0.9570957095709571,0.41914191419141916,0.5379537953795379,0.0429042904290429,0.0
A_xenica,297,118,179,6,0,303,0.9801980198019802,0.38943894389438943,0.5907590759075908,0.019801980198019802,0.0
L_parva,293,125,168,10,0,303,0.966996699669967,0.41254125412541254,0.5544554455445545,0.033003300330033,0.0
F_heteroclitusMDPL,292,110,182,11,0,303,0.9636963696369637,0.36303630363036304,0.6006600660066007,0.036303630363036306,0.0
F_parvapinis,298,98,200,4,1,303,0.9834983498349835,0.3234323432343234,0.6600660066006601,0.013201320132013201,0.0033003300330033004
F_notti,295,193,102,8,0,303,0.9735973597359736,0.636963696369637,0.33663366336633666,0.026402640264026403,0.0
F_catanatus,286,102,184,17,0,303,0.9438943894389439,0.33663366336633666,0.6072607260726073,0.056105610561056105,0.0
F_grandis,282,97,185,20,1,303,0.9306930693069307,0.3201320132013201,0.6105610561056105,0.066006600660066,0.0033003300330033004
