,Complete,Complete/Single-Copy,Complete/Duplicated,Fragmented,Missing,Total,Complete_BUSCO_perc,CompleteSingleCopy_perc,CompleteDuplicated_perc,Fragmented_perc,Missing_perc
F_diaphanus,948,458,490,25,5,978,0.9693251533742331,0.46830265848670755,0.5010224948875256,0.02556237218813906,0.005112474437627812
F_sciadicus,960,477,483,11,7,978,0.9815950920245399,0.48773006134969327,0.4938650306748466,0.011247443762781187,0.007157464212678937
F_chrysotus,948,372,576,23,7,978,0.9693251533742331,0.3803680981595092,0.588957055214724,0.023517382413087935,0.007157464212678937
F_zebrinus,965,459,506,5,8,978,0.9867075664621677,0.46932515337423314,0.5173824130879345,0.005112474437627812,0.0081799591002045
F_heteroclitusMDPP,944,368,576,27,7,978,0.9652351738241309,0.37627811860940696,0.588957055214724,0.027607361963190184,0.007157464212678937
F_similis,950,440,510,23,5,978,0.9713701431492843,0.4498977505112474,0.5214723926380368,0.023517382413087935,0.005112474437627812
F_rathbuni,963,338,625,10,5,978,0.9846625766871165,0.3456032719836401,0.6390593047034765,0.010224948875255624,0.005112474437627812
F_notatus,948,348,600,26,4,978,0.9693251533742331,0.3558282208588957,0.6134969325153374,0.026584867075664622,0.00408997955010225
F_olivaceous,960,381,579,11,7,978,0.9815950920245399,0.3895705521472393,0.5920245398773006,0.011247443762781187,0.007157464212678937
L_goodei,955,413,542,17,6,978,0.976482617586912,0.4222903885480573,0.5541922290388548,0.017382413087934562,0.006134969325153374
A_xenica,953,352,601,20,5,978,0.9744376278118609,0.35991820040899797,0.614519427402863,0.02044989775051125,0.005112474437627812
L_parva,958,425,533,14,6,978,0.9795501022494888,0.434560327198364,0.5449897750511248,0.014314928425357873,0.006134969325153374
F_heteroclitusMDPL,942,351,591,31,5,978,0.9631901840490797,0.3588957055214724,0.6042944785276073,0.03169734151329243,0.005112474437627812
F_parvapinis,966,371,595,8,4,978,0.9877300613496932,0.37934560327198363,0.6083844580777096,0.0081799591002045,0.00408997955010225
F_notti,947,590,357,17,14,978,0.9683026584867076,0.6032719836400818,0.36503067484662577,0.017382413087934562,0.014314928425357873
F_catanatus,939,366,573,32,7,978,0.9601226993865031,0.37423312883435583,0.5858895705521472,0.032719836400818,0.007157464212678937
F_grandis,932,309,623,41,5,978,0.9529652351738241,0.3159509202453988,0.6370143149284253,0.041922290388548056,0.005112474437627812
