species	Diginorm_bysample	Reads_Input	Diginorm_byspecies	Unique kmers	Percent_surviving
F_sciadicus	61759566	101937160	37932302	929778741	37.2
F_chrysotus	120615027	258850289	66146703	1434123391	25.6
F_diaphanus	101068831	137246213	46692192	1046979112	34
F_notti	25174771	46463472	21860955	493595457	47
F_similis	104168148	207444577	63352801	1420704983	30.5
F_parvapinis	82583659	184254591	50597794	1231605484	27.5
A_xenica	121262927	250627759	62070035	1366099384	24.8
F_heteroclitus.MDPL	269884267	319925008	79472815	1570605946	24.8
F_heteroclitus.MDPP	269884267	275951932	77784067	1593032868	28.2
F_rathbuni	151546112	348759075	79184398	1603165556	22.7
F_olivaceous	102382986	202133952	56164901	1283222161	27.8
L_goodei	108050557	219175639	61476480	1391181944	28
F_catanatus	122233879	328807408	71067870	1508176669	21.6
F_notatus	144700429	349630701	75563103	1545405076	21.6
L_parva	120553380	255219214	63705405	1367885577	25
F_grandis	171376365	467432867	108411122	1867426837	23.2
F_zebrinus	48900308	98327251	35987974	842367207	36.6
