Sample	Top over-represented sequence	Sum of remaining over-represented sequences
A_xenica_NA_BW_1_R1	0.0	0.0
A_xenica_NA_BW_1_R2	0.0	0.0
A_xenica_NA_BW_2_R1	0.1624321712382398	0.0
A_xenica_NA_BW_2_R2	0.2422478006613473	0.0
A_xenica_NA_BW_3_R1	0.18772155713742672	0.0
A_xenica_NA_BW_3_R2	0.225114837210855	0.0
A_xenica_NA_FW_1_R1	0.1724247691277954	0.0
A_xenica_NA_FW_1_R2	0.2582964418076687	0.0
A_xenica_NA_FW_2_R1	0.0	0.0
A_xenica_NA_FW_2_R2	0.16919153096260206	0.0
A_xenica_NA_FW_3_R1	0.0	0.0
A_xenica_NA_FW_3_R2	0.11880200032262171	0.0
A_xenica_NA_transfer_1_R1	0.0	0.0
A_xenica_NA_transfer_1_R2	0.0	0.0
A_xenica_NA_transfer_2_R1	0.1975602957167838	0.1018984468170061
A_xenica_NA_transfer_2_R2	0.28171535134675696	0.0
A_xenica_NA_transfer_3_R1	0.0	0.0
A_xenica_NA_transfer_3_R2	0.18497001755348144	0.0
F_catanatus_NA_BW_1_R1	0.23354192510271235	0.1180971270420754
F_catanatus_NA_BW_1_R2	0.30672379094268254	0.11960384913951227
F_catanatus_NA_BW_2_R1	0.0	0.0
F_catanatus_NA_BW_2_R2	0.0	0.0
F_catanatus_NA_BW_3_R1	0.15794295651597548	0.11934492233702995
F_catanatus_NA_BW_3_R2	0.1494708250628822	0.0
F_catanatus_NA_FW_1_R1	0.0	0.0
F_catanatus_NA_FW_1_R2	0.1513196587308373	0.0
F_catanatus_NA_FW_2_R1	0.0	0.0
F_catanatus_NA_FW_2_R2	0.0	0.0
F_catanatus_NA_transfer_1_R1	0.24249600514331457	0.0
F_catanatus_NA_transfer_1_R2	0.3301186841256786	0.0
F_catanatus_NA_transfer_2_R1	0.0	0.0
F_catanatus_NA_transfer_2_R2	0.0	0.0
F_chrysotus_NA_BW_1_R1	0.4812775459181254	0.0
F_chrysotus_NA_BW_1_R2	0.7007987349350643	0.0
F_chrysotus_NA_BW_2_R1	0.0	0.0
F_chrysotus_NA_BW_2_R2	0.0	0.0
F_chrysotus_NA_BW_3_R1	0.0	0.0
F_chrysotus_NA_BW_3_R2	0.0	0.0
F_chrysotus_NA_FW_1_R1	0.11959760900050989	0.0
F_chrysotus_NA_FW_1_R2	0.11453294132011578	0.0
F_chrysotus_NA_FW_2_R1	0.26906209286062593	0.0
F_chrysotus_NA_FW_2_R2	0.4475032054864608	0.0
F_chrysotus_NA_FW_3_R1	0.21909432567676712	0.0
F_chrysotus_NA_FW_3_R2	0.32401393449916827	0.0
F_chrysotus_NA_transfer_1_R1	0.0	0.0
F_chrysotus_NA_transfer_1_R2	0.0	0.0
F_chrysotus_NA_transfer_2_R1	0.0	0.0
F_chrysotus_NA_transfer_2_R2	0.0	0.0
F_diaphanus_NA_BW_1_R1	0.0	0.0
F_diaphanus_NA_BW_1_R2	0.10182687560988375	0.0
F_diaphanus_NA_BW_2_R1	0.10677730857946773	0.0
F_diaphanus_NA_BW_2_R2	0.1540649322122643	0.0
F_diaphanus_NA_FW_1_R1	0.0	0.0
F_diaphanus_NA_FW_1_R2	0.0	0.0
F_diaphanus_NA_FW_2_R1	0.10546340949899483	0.0
F_diaphanus_NA_FW_2_R2	0.0	0.0
F_diaphanus_NA_FW_3_R1	0.0	0.0
F_diaphanus_NA_FW_3_R2	0.0	0.0
F_diaphanus_NA_transfer_1_R1	0.14833936901920938	0.0
F_diaphanus_NA_transfer_1_R2	0.171399493061698	0.0
F_diaphanus_NA_transfer_2_R1	0.15395668060448653	0.0
F_diaphanus_NA_transfer_2_R2	0.11804309295729981	0.0
F_grandis_NA_BW_1_R1	0.0	0.0
F_grandis_NA_BW_1_R2	0.0	0.0
F_grandis_NA_BW_2_R1	0.10402810781975666	0.0
F_grandis_NA_BW_2_R2	0.11230670084226033	0.0
F_grandis_NA_BW_3_R1	0.25947401948759946	0.0
F_grandis_NA_BW_3_R2	0.0	0.0
F_grandis_NA_FW_1_R1	0.0	0.0
F_grandis_NA_FW_1_R2	0.0	0.0
F_grandis_NA_FW_2_R1	0.0	0.0
F_grandis_NA_FW_2_R2	0.0	0.0
F_grandis_NA_FW_3_R1	0.13107662962192976	0.347144143021767
F_grandis_NA_FW_3_R2	0.12682097838064885	0.23337618555565112
F_grandis_NA_transfer_1_R1	0.0	0.0
F_grandis_NA_transfer_1_R2	0.0	0.0
F_grandis_NA_transfer_2_R1	0.0	0.0
F_grandis_NA_transfer_2_R2	0.10219333665680408	0.0
F_grandis_NA_transfer_3_R1	0.22735358918351245	0.0
F_grandis_NA_transfer_3_R2	0.0	0.0
F_heteroclitus_MDPL_BW_1_R1	0.14855973254769622	0.0
