Sample	sequence_length_distribution	overrepresented_sequences	%GC	per_base_sequence_quality	Encoding	avg_sequence_length	per_sequence_quality_scores	per_base_n_content	Filtered Sequences	per_base_sequence_content	Sequence length	File type	sequence_duplication_levels	per_sequence_gc_content	per_base_gc_content	kmer_content	Total Sequences	basic_statistics	Filename
A_xenica_NA_BW_1_R1	pass	pass	51.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	fail	warn	fail	warn	19503575.0	pass	A_xenica_NA_BW_1_R1.fastq.gz
A_xenica_NA_BW_1_R2	pass	pass	51.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	fail	warn	fail	warn	19503575.0	pass	A_xenica_NA_BW_1_R2.fastq.gz
A_xenica_NA_BW_2_R1	pass	warn	48.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	warn	14459574.0	pass	A_xenica_NA_BW_2_R1.fastq.gz
A_xenica_NA_BW_2_R2	pass	warn	48.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	fail	14459574.0	pass	A_xenica_NA_BW_2_R2.fastq.gz
A_xenica_NA_BW_3_R1	pass	warn	48.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	fail	warn	fail	fail	19201311.0	pass	A_xenica_NA_BW_3_R1.fastq.gz
A_xenica_NA_BW_3_R2	pass	warn	48.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	fail	warn	fail	fail	19201311.0	pass	A_xenica_NA_BW_3_R2.fastq.gz
A_xenica_NA_FW_1_R1	pass	warn	48.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	fail	16289423.0	pass	A_xenica_NA_FW_1_R1.fastq.gz
A_xenica_NA_FW_1_R2	pass	warn	48.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	fail	16289423.0	pass	A_xenica_NA_FW_1_R2.fastq.gz
A_xenica_NA_FW_2_R1	pass	pass	49.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	warn	7610310.0	pass	A_xenica_NA_FW_2_R1.fastq.gz
A_xenica_NA_FW_2_R2	pass	warn	50.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	warn	7610310.0	pass	A_xenica_NA_FW_2_R2.fastq.gz
A_xenica_NA_FW_3_R1	pass	pass	50.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	fail	warn	fail	warn	11759903.0	pass	A_xenica_NA_FW_3_R1.fastq.gz
A_xenica_NA_FW_3_R2	pass	warn	50.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	fail	warn	fail	warn	11759903.0	pass	A_xenica_NA_FW_3_R2.fastq.gz
A_xenica_NA_transfer_1_R1	pass	pass	49.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	warn	8813148.0	pass	A_xenica_NA_transfer_1_R1.fastq.gz
A_xenica_NA_transfer_1_R2	pass	pass	49.0	fail	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	warn	8813148.0	pass	A_xenica_NA_transfer_1_R2.fastq.gz
A_xenica_NA_transfer_2_R1	pass	warn	48.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	fail	16659724.0	pass	A_xenica_NA_transfer_2_R1.fastq.gz
A_xenica_NA_transfer_2_R2	pass	warn	48.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	fail	16659724.0	pass	A_xenica_NA_transfer_2_R2.fastq.gz
A_xenica_NA_transfer_3_R1	pass	pass	50.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	fail	warn	fail	warn	11488889.0	pass	A_xenica_NA_transfer_3_R1.fastq.gz
A_xenica_NA_transfer_3_R2	pass	warn	50.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	fail	warn	fail	fail	11488889.0	pass	A_xenica_NA_transfer_3_R2.fastq.gz
F_catanatus_NA_BW_1_R1	pass	warn	49.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	fail	8030678.0	pass	F_catanatus_NA_BW_1_R1.fastq.gz
F_catanatus_NA_BW_1_R2	pass	warn	49.0	fail	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	fail	8030678.0	pass	F_catanatus_NA_BW_1_R2.fastq.gz
F_catanatus_NA_BW_2_R1	pass	pass	50.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	warn	warn	fail	warn	15643177.0	pass	F_catanatus_NA_BW_2_R1.fastq.gz
F_catanatus_NA_BW_2_R2	pass	pass	50.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	fail	warn	fail	warn	15643177.0	pass	F_catanatus_NA_BW_2_R2.fastq.gz
F_catanatus_NA_BW_3_R1	pass	warn	49.0	pass	Sanger / Illumina 1.9	100.0	pass	pass	0.0	fail	100.0	Conventional base calls	fail	warn	fail	warn	16052631.0	pass	F_catanatus_NA_BW_3_R1.fastq.gz
