Sample	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-total_sequences	FastQC_mqc-generalstats-percent_gc	FastQC_mqc-generalstats-avg_sequence_length
A_xenica_NA_BW_1_R1	27.27272727272727	19503575.0	51.0	100.0
A_xenica_NA_BW_1_R2	27.27272727272727	19503575.0	51.0	100.0
A_xenica_NA_BW_2_R1	18.181818181818183	14459574.0	48.0	100.0
A_xenica_NA_BW_2_R2	27.27272727272727	14459574.0	48.0	100.0
A_xenica_NA_BW_3_R1	36.36363636363637	19201311.0	48.0	100.0
A_xenica_NA_BW_3_R2	36.36363636363637	19201311.0	48.0	100.0
A_xenica_NA_FW_1_R1	27.27272727272727	16289423.0	48.0	100.0
A_xenica_NA_FW_1_R2	27.27272727272727	16289423.0	48.0	100.0
A_xenica_NA_FW_2_R1	18.181818181818183	7610310.0	49.0	100.0
A_xenica_NA_FW_2_R2	18.181818181818183	7610310.0	50.0	100.0
A_xenica_NA_FW_3_R1	27.27272727272727	11759903.0	50.0	100.0
A_xenica_NA_FW_3_R2	27.27272727272727	11759903.0	50.0	100.0
A_xenica_NA_transfer_1_R1	18.181818181818183	8813148.0	49.0	100.0
A_xenica_NA_transfer_1_R2	27.27272727272727	8813148.0	49.0	100.0
A_xenica_NA_transfer_2_R1	27.27272727272727	16659724.0	48.0	100.0
A_xenica_NA_transfer_2_R2	27.27272727272727	16659724.0	48.0	100.0
A_xenica_NA_transfer_3_R1	27.27272727272727	11488889.0	50.0	100.0
A_xenica_NA_transfer_3_R2	36.36363636363637	11488889.0	50.0	100.0
F_catanatus_NA_BW_1_R1	27.27272727272727	8030678.0	49.0	100.0
F_catanatus_NA_BW_1_R2	36.36363636363637	8030678.0	49.0	100.0
F_catanatus_NA_BW_2_R1	18.181818181818183	15643177.0	50.0	100.0
F_catanatus_NA_BW_2_R2	27.27272727272727	15643177.0	50.0	100.0
F_catanatus_NA_BW_3_R1	27.27272727272727	16052631.0	49.0	100.0
F_catanatus_NA_BW_3_R2	27.27272727272727	16052631.0	49.0	100.0
F_catanatus_NA_FW_1_R1	18.181818181818183	7719420.0	50.0	100.0
F_catanatus_NA_FW_1_R2	27.27272727272727	7719420.0	50.0	100.0
F_catanatus_NA_FW_2_R1	27.27272727272727	36860538.0	50.0	100.0
F_catanatus_NA_FW_2_R2	27.27272727272727	36860538.0	50.0	100.0
F_catanatus_NA_transfer_1_R1	36.36363636363637	30075547.0	48.0	100.0
F_catanatus_NA_transfer_1_R2	36.36363636363637	30075547.0	48.0	100.0
F_catanatus_NA_transfer_2_R1	27.27272727272727	50723986.0	50.0	100.0
F_catanatus_NA_transfer_2_R2	27.27272727272727	50723986.0	50.0	100.0
F_chrysotus_NA_BW_1_R1	36.36363636363637	13768147.0	47.0	100.0
F_chrysotus_NA_BW_1_R2	27.27272727272727	13768147.0	47.0	100.0
F_chrysotus_NA_BW_2_R1	18.181818181818183	23276982.0	50.0	100.0
F_chrysotus_NA_BW_2_R2	27.27272727272727	23276982.0	50.0	100.0
F_chrysotus_NA_BW_3_R1	18.181818181818183	15377627.0	49.0	100.0
F_chrysotus_NA_BW_3_R2	18.181818181818183	15377627.0	49.0	100.0
F_chrysotus_NA_FW_1_R1	27.27272727272727	14275369.0	48.0	100.0
F_chrysotus_NA_FW_1_R2	27.27272727272727	14275369.0	48.0	100.0
F_chrysotus_NA_FW_2_R1	27.27272727272727	15495308.0	47.0	100.0
F_chrysotus_NA_FW_2_R2	36.36363636363637	15495308.0	48.0	100.0
F_chrysotus_NA_FW_3_R1	36.36363636363637	18789624.0	48.0	100.0
F_chrysotus_NA_FW_3_R2	36.36363636363637	18789624.0	48.0	100.0
F_chrysotus_NA_transfer_1_R1	18.181818181818183	9099949.0	49.0	100.0
F_chrysotus_NA_transfer_1_R2	27.27272727272727	9099949.0	49.0	100.0
F_chrysotus_NA_transfer_2_R1	18.181818181818183	19880476.0	49.0	100.0
F_chrysotus_NA_transfer_2_R2	27.27272727272727	19880476.0	49.0	100.0
F_diaphanus_NA_BW_1_R1	18.181818181818183	9304027.0	50.0	100.0
F_diaphanus_NA_BW_1_R2	27.27272727272727	9304027.0	50.0	100.0
F_diaphanus_NA_BW_2_R1	18.181818181818183	10785063.0	48.0	100.0
