assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,gc_skew,at_skew,cpg_ratio,bases_n,proportion_n,linguistic_complexity,CRBB_hits,n_contigs_with_CRBB,p_contigs_with_CRBB,rbh_per_reference,n_refs_with_CRBB,p_refs_with_CRBB,cov25,p_cov25,cov50,p_cov50,cov75,p_cov75,cov85,p_cov85,cov95,p_cov95,reference_coverage,score,optimal_score,cutoff,weighted,SampleName
/home/ljcohen/reference/kf2evg367mixx11/kfish2evg367mixx11pub2.mrna,181171,150,56058,322411142,1778.80731,754,101088,1063,140224,76.46205,796,1768,2786,4267,7516,0.51597,0.00192,0.06795,1.68559,10420675,0.03232,0.25763,133434,133434,0.73651,0.36781,47422,0.13072,22987,0.06336,17143,0.04725,11000,0.03032,8404,0.02317,5293,0.01459,0.08753,,,,,A_xenica
/home/ljcohen/reference/kf2evg367mixx11/kfish2evg367mixx11pub2.mrna,181171,150,56058,322411142,1778.80731,754,101088,1063,140224,76.46205,796,1768,2786,4267,7516,0.51597,0.00192,0.06795,1.68559,10420675,0.03232,0.25763,138602,138602,0.76503,0.36074,50055,0.13028,24783,0.0645,19041,0.04956,12674,0.03299,9964,0.02593,6463,0.01682,0.1002,,,,,F_diaphanus
/home/ljcohen/reference/kf2evg367mixx11/kfish2evg367mixx11pub2.mrna,181171,150,56058,322411142,1778.80731,754,101088,1063,140224,76.46205,796,1768,2786,4267,7516,0.51597,0.00192,0.06795,1.68559,10420675,0.03232,0.25763,134112,134112,0.74025,0.38289,47644,0.13602,23057,0.06583,16874,0.04817,10718,0.0306,8175,0.02334,5090,0.01453,0.08899,,,,,F_olivaceous
/home/ljcohen/reference/kf2evg367mixx11/kfish2evg367mixx11pub2.mrna,181171,150,56058,322411142,1778.80731,754,101088,1063,140224,76.46205,796,1768,2786,4267,7516,0.51597,0.00192,0.06795,1.68559,10420675,0.03232,0.25763,146805,146805,0.81031,0.21961,58967,0.08821,29260,0.04377,22491,0.03364,15335,0.02294,12022,0.01798,7814,0.01169,0.07587,,,,,F_heteroclitusMDPP
/home/ljcohen/reference/kf2evg367mixx11/kfish2evg367mixx11pub2.mrna,181171,150,56058,322411142,1778.80731,754,101088,1063,140224,76.46205,796,1768,2786,4267,7516,0.51597,0.00192,0.06795,1.68559,10420675,0.03232,0.25763,138565,138565,0.76483,0.34141,51525,0.12695,24822,0.06116,18635,0.04591,12127,0.02988,9496,0.0234,6112,0.01506,0.08427,,,,,F_catanatus
/home/ljcohen/reference/kf2evg367mixx11/kfish2evg367mixx11pub2.mrna,181171,150,56058,322411142,1778.80731,754,101088,1063,140224,76.46205,796,1768,2786,4267,7516,0.51597,0.00192,0.06795,1.68559,10420675,0.03232,0.25763,131756,131756,0.72725,0.3418,45712,0.11859,22356,0.058,16970,0.04402,11032,0.02862,8396,0.02178,5191,0.01347,0.08845,,,,,L_goodei
/home/ljcohen/reference/kf2evg367mixx11/kfish2evg367mixx11pub2.mrna,181171,150,56058,322411142,1778.80731,754,101088,1063,140224,76.46205,796,1768,2786,4267,7516,0.51597,0.00192,0.06795,1.68559,10420675,0.03232,0.25763,117310,117310,0.64751,0.73424,36213,0.22666,18733,0.11725,14732,0.09221,10257,0.0642,8221,0.05145,5607,0.03509,0.15695,,,,,F_notti
/home/ljcohen/reference/kf2evg367mixx11/kfish2evg367mixx11pub2.mrna,181171,150,56058,322411142,1778.80731,754,101088,1063,140224,76.46205,796,1768,2786,4267,7516,0.51597,0.00192,0.06795,1.68559,10420675,0.03232,0.25763,142001,142001,0.7838,0.28331,53571,0.10688,25705,0.05128,18768,0.03744,11824,0.02359,9001,0.01796,5494,0.01096,0.07497,,,,,F_rathbuni
/home/ljcohen/reference/kf2evg367mixx11/kfish2evg367mixx11pub2.mrna,181171,150,56058,322411142,1778.80731,754,101088,1063,140224,76.46205,796,1768,2786,4267,7516,0.51597,0.00192,0.06795,1.68559,10420675,0.03232,0.25763,146980,146980,0.81128,0.2481,59282,0.10007,29438,0.04969,22869,0.0386,15597,0.02633,12376,0.02089,7996,0.0135,0.08035,,,,,F_heteroclitusMDPL
/home/ljcohen/reference/kf2evg367mixx11/kfish2evg367mixx11pub2.mrna,181171,150,56058,322411142,1778.80731,754,101088,1063,140224,76.46205,796,1768,2786,4267,7516,0.51597,0.00192,0.06795,1.68559,10420675,0.03232,0.25763,137545,137545,0.7592,0.3304,50638,0.12164,24586,0.05906,18085,0.04344,11487,0.02759,8666,0.02082,5396,0.01296,0.07962,,,,,F_notatus
