Genus_species	Sample	Input Reads	Surviving Reads	Percent Surviving
A_xenica	A_xenica_NA_BW_3	19201311	19119482	99.57
A_xenica	A_xenica_NA_BW_2	14459574	14308233	98.95
F_zebrinus	F_zebrinus_NA_FW_2	13600787	13486064	99.16
F_zebrinus	F_zebrinus_NA_FW_1	14763674	14680567	99.44
L_goodei	L_goodei_NA_transfer_3	11671843	11530569	98.79
L_goodei	L_goodei_NA_transfer_2	13113333	13050147	99.52
L_goodei	L_goodei_NA_transfer_1	9336735	9299475	99.60
F_heteroclitus.MDPP	F_heteroclitus.MDPP_FW_2	10865487	10765379	99.08
F_heteroclitus.MDPP	F_heteroclitus.MDPP_FW_3	17375266	17292138	99.52
F_heteroclitus.MDPP	F_heteroclitus.MDPP_FW_1	19393473	19277445	99.40
F_heteroclitus.MDPP	F_heteroclitus.MDPP_BW_2	20456175	20217930	98.84
F_heteroclitus.MDPP	F_heteroclitus.MDPP_BW_3	11950841	11894529	99.53
F_heteroclitus.MDPP	F_heteroclitus.MDPP_BW_1	19773376	19595533	99.10
F_parvapinis	F_parvapinis_NA_FW_1	9554576	9501134	99.44
F_parvapinis	F_parvapinis_NA_FW_3	8074759	8042381	99.60
F_parvapinis	F_parvapinis_NA_FW_2	7862298	7796602	99.16
L_goodei	L_goodei_NA_BW_1	10362426	10312639	99.52
L_goodei	L_goodei_NA_BW_3	13495232	13341204	98.86
L_goodei	L_goodei_NA_BW_2	14108284	13999498	99.23
F_parvapinis	F_parvapinis_NA_transfer_2	18412525	18160177	98.63
F_parvapinis	F_parvapinis_NA_transfer_1	27260921	26995224	99.03
F_chrysotus	F_chrysotus_NA_BW_3	15377627	15315383	99.60
F_chrysotus	F_chrysotus_NA_BW_2	23276982	23013650	98.87
F_chrysotus	F_chrysotus_NA_BW_1	13768147	13663276	99.24
F_sciadicus	F_sciadicus_NA_BW_2	9485042	9373256	98.82
F_sciadicus	F_sciadicus_NA_BW_1	26751294	26571233	99.33
