"","species","Complete_euk","Fragmented_euk","Missing_euk","Total_euk","Complete_euk_proportion","Complete_euk_perc.x","Complete_metazoa","Fragmented_metazoa","Missing_metazoa","Total_metazoa","Complete_metazoa_proportion","Complete_euk_perc.y","assembly.x","n_seqs.x","smallest.x","largest.x","n_bases.x","mean_len.x","n_under_200.x","n_over_1k.x","n_over_10k.x","n_with_orf.x","mean_orf_percent.x","n90.x","n70.x","n50.x","n30.x","n10.x","gc.x","bases_n.x","proportion_n.x","CRBB_hits.x","n_contigs_with_CRBB.x","p_contigs_with_CRBB.x","rbh_per_reference.x","n_refs_with_CRBB.x","p_refs_with_CRBB.x","cov25.x","p_cov25.x","cov50.x","p_cov50.x","cov75.x","p_cov75.x","cov85.x","p_cov85.x","cov95.x","p_cov95.x","reference_coverage.x","score.x","optimal_score.x","cutoff.x","weighted.x","assembly.y","n_seqs.y","smallest.y","largest.y","n_bases.y","mean_len.y","n_under_200.y","n_over_1k.y","n_over_10k.y","n_with_orf.y","mean_orf_percent.y","n90.y","n70.y","n50.y","n30.y","n10.y","gc.y","bases_n.y","proportion_n.y","CRBB_hits.y","n_contigs_with_CRBB.y","p_contigs_with_CRBB.y","rbh_per_reference.y","n_refs_with_CRBB.y","p_refs_with_CRBB.y","cov25.y","p_cov25.y","cov50.y","p_cov50.y","cov75.y","p_cov75.y","cov85.y","p_cov85.y","cov95.y","p_cov95.y","reference_coverage.y","score.y","optimal_score.y","cutoff.y","weighted.y"
"1","A_xenica",302,0,1,303,0.996699669966997,99.6699669966997,967,6,5,978,98.8752556237219,9887.52556237219,"/pylon5/bi5fpmp/ljcohen/kfish_trinity/A_xenica.trinity_out.Trinity.fasta",301664,180,21149,381329529,1264.06219,39,101463,1093,79919,41.86545,431,1532,2814,4393,7266,0.46408,0,0,118955,118955,0.39433,2.88936,26471,0.64297,11237,0.27294,8620,0.20938,5766,0.14005,4565,0.11088,3209,0.07795,0.19595,NA,NA,NA,NA,"/pylon5/bi5fpmp/ljcohen/Fhet_reference_genome/ncbi/rna.fa",41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881,175536,0.00135,37211,37211,0.90384,0.12335,23822,0.07897,10322,0.03422,8352,0.02769,5642,0.0187,4448,0.01474,2820,0.00935,0.05488,NA,NA,NA,NA
"2","F_catanatus",301,2,0,303,0.993399339933993,99.3399339933993,966,7,5,978,98.7730061349693,9877.30061349693,"/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_catanatus.trinity_out.Trinity.fasta",325956,181,32158,392758373,1204.91345,50,102986,1204,78828,41.45704,399,1453,2757,4343,7399,0.46306,0,0,133504,133504,0.40958,3.24275,28805,0.69966,12526,0.30425,9850,0.23925,7049,0.17122,5784,0.14049,4152,0.10085,0.22942,NA,NA,NA,NA,"/pylon5/bi5fpmp/ljcohen/Fhet_reference_genome/ncbi/rna.fa",41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881,175536,0.00135,37973,37973,0.92235,0.1165,24441,0.07498,10796,0.03312,8970,0.02752,6439,0.01975,5141,0.01577,3343,0.01026,0.05785,NA,NA,NA,NA
"3","F_chrysotus",299,3,1,303,0.986798679867987,98.6798679867987,966,6,6,978,98.7730061349693,9877.30061349693,"/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_chrysotus.trinity_out.Trinity.fasta",328866,180,27960,417877726,1270.6405,38,107578,1425,82126,39.82807,421,1589,2961,4650,7673,0.45807,0,0,112067,112067,0.34077,2.72205,22050,0.53558,9335,0.22674,7225,0.17549,5005,0.12157,4040,0.09813,2817,0.06842,0.16491,NA,NA,NA,NA,"/pylon5/bi5fpmp/ljcohen/Fhet_reference_genome/ncbi/rna.fa",41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881,175536,0.00135,37272,37272,0.90532,0.11333,23743,0.0722,9888,0.03007,7879,0.02396,5247,0.01595,4085,0.01242,2496,0.00759,0.04971,NA,NA,NA,NA
"4","F_diaphanus",301,2,0,303,0.993399339933993,99.3399339933993,966,5,7,978,98.7730061349693,9877.30061349693,"/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_diaphanus.trinity_out.Trinity.fasta",320734,181,22815,325735698,1015.56567,48,81921,709,65787,44.20562,338,1071,2369,3918,6749,0.45889,0,0,109703,109703,0.34204,2.66463,28108,0.68273,11651,0.283,9024,0.21919,6361,0.15451,5276,0.12815,3900,0.09473,0.20972,NA,NA,NA,NA,"/pylon5/bi5fpmp/ljcohen/Fhet_reference_genome/ncbi/rna.fa",41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881,175536,0.00135,38043,38043,0.92405,0.11861,24386,0.07603,10746,0.0335,9052,0.02822,6522,0.02033,5342,0.01666,3517,0.01097,0.06579,NA,NA,NA,NA
"5","F_grandis",298,5,0,303,0.983498349834984,98.3498349834984,968,7,3,978,98.9775051124744,9897.75051124744,"/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_grandis.trinity_out.Trinity.fasta",676974,170,64901,564126240,833.27679,102,136211,885,101233,44.08229,291,712,1809,3305,6066,0.45872,0,0,118422,118422,0.17493,2.87641,18194,0.44192,8398,0.20398,6416,0.15584,4592,0.11154,3774,0.09167,2789,0.06774,0.15238,NA,NA,NA,NA,"/pylon5/bi5fpmp/ljcohen/Fhet_reference_genome/ncbi/rna.fa",41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881,175536,0.00135,38811,38811,0.9427,0.05733,25326,0.03741,11430,0.01688,9607,0.01419,6918,0.01022,5419,0.008,3195,0.00472,0.04054,NA,NA,NA,NA
"6","F_heteroclitusMDPL",300,3,0,303,0.99009900990099,99.009900990099,966,7,5,978,98.7730061349693,9877.30061349693,"/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_heteroclitusMDPL.trinity_out.Trinity.fasta",489882,172,30723,487813606,995.74709,78,133395,711,93088,42.73127,345,1018,2068,3426,5987,0.45674,0,0,178172,178172,0.3637,4.32771,30354,0.73728,13447,0.32662,10367,0.25181,7583,0.18419,6339,0.15397,4863,0.11812,0.24498,NA,NA,NA,NA,"/pylon5/bi5fpmp/ljcohen/Fhet_reference_genome/ncbi/rna.fa",41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881,175536,0.00135,38844,38844,0.9435,0.07929,25546,0.05215,11451,0.02338,9988,0.02039,7709,0.01574,6418,0.0131,4323,0.00882,0.04797,NA,NA,NA,NA
"7","F_heteroclitusMDPP",301,2,0,303,0.993399339933993,99.3399339933993,967,5,6,978,98.8752556237219,9887.52556237219,"/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_heteroclitusMDPP.trinity_out.Trinity.fasta",552205,179,30054,488797077,885.15265,59,121064,722,87407,42.95918,318,762,1852,3311,5883,0.45068,0,0,111184,111184,0.20135,2.70061,18761,0.4557,8511,0.20673,6588,0.16002,4917,0.11943,4142,0.10061,3210,0.07797,0.15744,NA,NA,NA,NA,"/pylon5/bi5fpmp/ljcohen/Fhet_reference_genome/ncbi/rna.fa",41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881,175536,0.00135,38979,38979,0.94678,0.07059,25460,0.04611,11463,0.02076,9817,0.01778,7347,0.0133,6038,0.01093,3873,0.00701,0.04796,NA,NA,NA,NA
"8","F_notatus",301,2,0,303,0.993399339933993,99.3399339933993,969,5,4,978,99.079754601227,9907.9754601227,"/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_notatus.trinity_out.Trinity.fasta",343128,179,28093,434881519,1267.37302,54,110707,1617,83586,39.58724,416,1578,3001,4726,7872,0.46011,0,0,137037,137037,0.39938,3.32856,28682,0.69667,12322,0.2993,9594,0.23303,6720,0.16323,5386,0.13082,3851,0.09354,0.21804,NA,NA,NA,NA,"/pylon5/bi5fpmp/ljcohen/Fhet_reference_genome/ncbi/rna.fa",41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881,175536,0.00135,38145,38145,0.92652,0.11117,24508,0.07143,10615,0.03094,8437,0.02459,5656,0.01648,4415,0.01287,2669,0.00778,0.05061,NA,NA,NA,NA
"9","F_notti",299,1,3,303,0.986798679867987,98.6798679867987,955,11,12,978,97.6482617586912,9764.82617586912,"/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_notti.trinity_out.Trinity.fasta",131628,182,27001,159730981,1213.49136,8,43735,347,39296,47.95473,412,1458,2642,4106,6868,0.46897,0,0,62883,62883,0.47773,1.5274,22717,0.55179,9152,0.2223,7031,0.17078,4982,0.12101,4073,0.09893,2840,0.06898,0.16334,NA,NA,NA,NA,"/pylon5/bi5fpmp/ljcohen/Fhet_reference_genome/ncbi/rna.fa",41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881,175536,0.00135,33486,33486,0.81336,0.2544,20299,0.15421,8874,0.06742,7696,0.05847,5783,0.04393,4874,0.03703,3550,0.02697,0.1086,NA,NA,NA,NA
"10","F_olivaceous",302,1,0,303,0.996699669966997,99.6699669966997,961,9,8,978,98.2617586912066,9826.17586912066,"/pylon5/bi5fpmp/ljcohen/kfish_trinity/F_olivaceous.trinity_out.Trinity.fasta",296801,176,33490,358020368,1206.23933,38,92174,1065,70836,41.5289,396,1468,2819,4433,7389,0.46045,0,0,116192,116192,0.39148,2.82225,27711,0.67309,11704,0.28428,9138,0.22196,6386,0.15511,5211,0.12657,3744,0.09094,0.20903,NA,NA,NA,NA,"/pylon5/bi5fpmp/ljcohen/Fhet_reference_genome/ncbi/rna.fa",41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881,175536,0.00135,37483,37483,0.91044,0.12629,23879,0.08045,10517,0.03543,8614,0.02902,6009,0.02025,4711,0.01587,2931,0.00988,0.06003,NA,NA,NA,NA
