,ID,Name
604147,Funhe2EKm041409t1,Guanine nucleotide-binding protein subunit beta-2 1 (100%U)
604149,Funhe2EKm041410,
604150,Funhe2EKm041410t1,transmembrane protein 30Ab (95%Z)
604152,Funhe2EKm041411,
604153,Funhe2EKm041411t1,HNRNPA2B1 protein (90%U)
604155,Funhe2EKm041412,
604156,Funhe2EKm041412t1,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9, 39kDa (68%P)"
604146,Funhe2EKm041409,
604159,Funhe2EKm041413t1,Phosphatidylinositide phosphatase SAC1 (58%U)
604161,Funhe2EKm041414,
604162,Funhe2EKm041414t1,Uncharacterized protein
604164,Funhe2EKm041415,
604165,Funhe2EKm041415t1,Potassium-transporting ATPase alpha chain 2 (36%U)
604167,Funhe2EKm041416,
604168,Funhe2EKm041416t1,Elongation factor 2 (39%U)
604158,Funhe2EKm041413,
604144,Funhe2EKm041408t1,"Alpha-(1,3)-fucosyltransferase (42%U)"
604143,Funhe2EKm041408,
604120,Funhe2EKm041400t1,"general transcription factor IIA, 1, 19/37kDa (16%T)"
604122,Funhe2EKm041401,
604123,Funhe2EKm041401t1,transcription elongation factor SPT5 (29%M)
604125,Funhe2EKm041402,
604126,Funhe2EKm041402t1,Bromodomain-containing protein 7 (21%U)
604128,Funhe2EKm041403,
604129,Funhe2EKm041403t1,Neuropeptide FF receptor 2 (93%P)
604131,Funhe2EKm041404,
604132,Funhe2EKm041404t1,caspase activity and apoptosis inhibitor 1 (46%M)
604134,Funhe2EKm041405,
604135,Funhe2EKm041405t1,RNA 3'-terminal phosphate cyclase protein (100%U)
604137,Funhe2EKm041406,
604138,Funhe2EKm041406t1,SHC-transforming protein 1 (66%M)
604140,Funhe2EKm041407,
604141,Funhe2EKm041407t1,Ceramide synthase 1 (49%U)
604119,Funhe2EKm041400,
604170,Funhe2EKm041417,
604200,Funhe2EKm041427,
604201,Funhe2EKm041427t1,protein NDRG4-B (78%M)
604203,Funhe2EKm041428,
604204,Funhe2EKm041428t1,vesicle amine transport protein 1 homolog (T californica) (71%Z)
604206,Funhe2EKm041429,
604207,Funhe2EKm041429t1,tropomodulin 4 (muscle) (97%Z)
604209,Funhe2EKm041430,
604210,Funhe2EKm041430t1,"NACHT, LRR and PYD domains-containing protein (73%M)"
604212,Funhe2EKm041431,
604213,Funhe2EKm041431t1,KH-type splicing regulatory protein (45%T)
604215,Funhe2EKm041432,
604216,Funhe2EKm041432t1,Polyadenylate-binding protein 4 (38%U)
604218,Funhe2EKm041433,
604219,Funhe2EKm041433t1,makorin ring finger protein 1 (76%T)
604221,Funhe2EKm041434,
604198,Funhe2EKm041426t1,"discs, large (Drosophila) homolog-associated protein 1a (11%Z)"
604197,Funhe2EKm041426,
604173,Funhe2EKm041418,
604174,Funhe2EKm041418t1,High mobility group protein B1 (80%U)
604176,Funhe2EKm041419,
604177,Funhe2EKm041419t1,F-box/WD repeat-containing protein 1A (63%U)
604179,Funhe2EKm041420,
604180,Funhe2EKm041420t1,Serine/arginine-rich splicing factor 7 (64%U)
604182,Funhe2EKm041421,
604183,Funhe2EKm041421t1,ER membrane protein complex subunit 7 (66%U)
604185,Funhe2EKm041422,
604186,Funhe2EKm041422t1,Ig kappa chain V-V region MOPC (33%C)
604188,Funhe2EKm041423,
604189,Funhe2EKm041423t1,plasma membrane calcium-transporting ATPase 1 (23%M)
604191,Funhe2EKm041424,
604192,Funhe2EKm041424t1,Diphosphomevalonate decarboxylase (84%U)
604194,Funhe2EKm041425,
604195,Funhe2EKm041425t1,hydroxyacylglutathione hydrolase (79%P)
604171,Funhe2EKm041417t1,Cytosolic 5'-nucleotidase 3 (54%U)
604222,Funhe2EKm041434t1,"asparaginyl-tRNA synthetase 2, mitochondrial (putative) (62%Z)"
604116,Funhe2EKm041399,
604041,Funhe2EKm041374,
604042,Funhe2EKm041374t1,ubiquitin carboxyl-terminal hydrolase L5 (100%P)
604044,Funhe2EKm041375,
