assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,bases_n,proportion_n,CRBB_hits,n_contigs_with_CRBB,p_contigs_with_CRBB,rbh_per_reference,n_refs_with_CRBB,p_refs_with_CRBB,cov25,p_cov25,cov50,p_cov50,cov75,p_cov75,cov85,p_cov85,cov95,p_cov95,reference_coverage,score,optimal_score,cutoff,weighted
/home/ljcohen/reference/Fhet_ncbi/rna.fa,41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881,175536,0.00135,38854,38854,0.94375,0.07752,25362,0.0506,13283,0.0265,11461,0.02287,8499,0.01696,6958,0.01388,4537,0.00905,0.05315,,,,
/home/ljcohen/reference/Fhet_ncbi/rna.fa,41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881,175536,0.00135,38179,38179,0.92735,0.09631,24504,0.06182,12812,0.03232,11006,0.02776,8262,0.02084,6875,0.01734,4640,0.01171,0.05959,,,,
/home/ljcohen/reference/Fhet_ncbi/rna.fa,41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881,175536,0.00135,36019,36019,0.87488,0.14928,22630,0.09379,11855,0.04913,10468,0.04339,7992,0.03312,6749,0.02797,4591,0.01903,0.08813,,,,
/home/ljcohen/reference/Fhet_ncbi/rna.fa,41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881,175536,0.00135,38102,38102,0.92548,0.09304,24136,0.05893,12635,0.03085,10869,0.02654,8084,0.01974,6499,0.01587,4229,0.01033,0.06259,,,,
/home/ljcohen/reference/Fhet_ncbi/rna.fa,41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881,175536,0.00135,39447,39447,0.95815,0.05901,25617,0.03832,13351,0.01997,12037,0.01801,9770,0.01462,8394,0.01256,5931,0.00887,0.0503,,,,
/home/ljcohen/reference/Fhet_ncbi/rna.fa,41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881,175536,0.00135,33665,33665,0.81771,0.21071,20497,0.12829,11122,0.06961,9928,0.06214,7939,0.04969,6847,0.04286,5114,0.03201,0.12382,,,,
/home/ljcohen/reference/Fhet_ncbi/rna.fa,41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881,175536,0.00135,36117,36117,0.87726,0.1025,22638,0.06425,11941,0.03389,9982,0.02833,7055,0.02002,5596,0.01588,3517,0.00998,0.06423,,,,
/home/ljcohen/reference/Fhet_ncbi/rna.fa,41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881,175536,0.00135,37250,37250,0.90479,0.10268,23833,0.06569,12470,0.03437,10769,0.02968,7978,0.02199,6537,0.01802,4416,0.01217,0.06348,,,,
/home/ljcohen/reference/Fhet_ncbi/rna.fa,41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881,175536,0.00135,37624,37624,0.91387,0.10742,24084,0.06876,12621,0.03603,10835,0.03093,8039,0.02295,6597,0.01883,4375,0.01249,0.06606,,,,
/home/ljcohen/reference/Fhet_ncbi/rna.fa,41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881,175536,0.00135,40083,40083,0.9736,0.04954,26250,0.03245,13370,0.01653,11973,0.0148,9483,0.01172,8073,0.00998,5418,0.0067,0.0416,,,,
/home/ljcohen/reference/Fhet_ncbi/rna.fa,41170,86,90562,130236694,3162.74525,167,35862,714,37306,61.1047,1694,2908,4237,5992,9073,0.49881,175536,0.00135,38082,38082,0.92499,0.09912,24327,0.06332,12848,0.03344,11378,0.02961,8926,0.02323,7547,0.01964,5283,0.01375,0.07233,,,,
