assembly,CRBB_hits,bases_n,cov25,cov50,cov75,cov85,cov95,cutoff,gc,largest,mean_len,mean_orf_percent,n10,n30,n50,n70,n90,n_bases,n_contigs_with_CRBB,n_over_10k,n_over_1k,n_refs_with_CRBB,n_seqs,n_under_200,n_with_orf,optimal_score,p_contigs_with_CRBB,p_cov25,p_cov50,p_cov75,p_cov85,p_cov95,p_refs_with_CRBB,proportion_n,rbh_per_reference,reference_coverage,score,smallest,species,weighted
/pylon5/bi5fpmp/ljcohen/kfish_assemblies_old/F_chrysotus.trinity_out.Trinity.fasta,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.4573,18920,938.88902,43.690290000000005,5102,3070,1903,954,328,372175608,0.0,161,106644,0.0,396400,0,83803,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,201,F_chrysotus,
/pylon5/bi5fpmp/ljcohen/kfish_assemblies_old/F_olivaceous.trinity_out.Trinity.fasta,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.46132,18651,1031.75012,43.55405,6071,3653,2293,1148,343,361385955,0.0,429,98290,0.0,350265,0,77240,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,201,F_olivaceous,
/pylon5/bi5fpmp/ljcohen/kfish_assemblies_old/F_zebrinus.trinity_out.Trinity.fasta,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.45926000000000006,18324,893.5795,47.28976,5106,3063,1865,871,310,238566069,0.0,106,65793,0.0,266978,0,56249,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,201,F_zebrinus,
/pylon5/bi5fpmp/ljcohen/kfish_assemblies_old/F_heteroclitusMDPP.trinity_out.Trinity.fasta,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.44528999999999996,19937,646.90655,46.99285,3537,1932,1010,477,268,432448617,0.0,42,106419,0.0,668487,0,82970,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,201,F_heteroclitusMDPP,
/pylon5/bi5fpmp/ljcohen/kfish_assemblies_old/F_heteroclitusMDPL.trinity_out.Trinity.fasta,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.45147,19404,701.17806,46.46367,3599,2028,1186,564,275,415391207,0.0,81,115159,0.0,592419,0,83117,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,201,F_heteroclitusMDPL,
/pylon5/bi5fpmp/ljcohen/kfish_assemblies_old/F_sciadicus.trinity_out.Trinity.fasta,2.0,0,2.0,2.0,2.0,2.0,2.0,,0.46671999999999997,20813,1041.73483,46.87986,6059,3603,2290,1163,349,251348737,2.0,280,69167,2.0,241279,0,59089,,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,1e-05,0.0,,201,F_sciadicus,
/pylon5/bi5fpmp/ljcohen/kfish_assemblies_old/F_rathbuni.trinity_out.Trinity.fasta,1.0,0,1.0,1.0,1.0,1.0,1.0,,0.45721000000000006,22367,910.49412,43.71317,5415,3236,1939,875,315,456359684,1.0,392,121813,1.0,501222,0,94528,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,201,F_rathbuni,
/pylon5/bi5fpmp/ljcohen/kfish_assemblies_old/F_diaphanus.trinity_out.Trinity.fasta,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.45876000000000006,15435,808.25382,47.69805,4836,2794,1632,697,291,310545666,0.0,183,82367,0.0,384218,0,69301,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,201,F_diaphanus,
/pylon5/bi5fpmp/ljcohen/kfish_assemblies_old/L_goodei.trinity_out.Trinity.fasta,1.0,0,1.0,1.0,1.0,1.0,1.0,,0.46331999999999995,26620,833.99876,47.00172,4679,2691,1616,769,298,321486507,1.0,160,91184,1.0,385476,0,72447,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,201,L_goodei,
/pylon5/bi5fpmp/ljcohen/kfish_assemblies_old/F_catanatus.trinity_out.Trinity.fasta,2.0,0,2.0,2.0,2.0,2.0,2.0,,0.46238,16496,929.7469199999999,45.07548,4858,2917,1822,931,330,377352662,2.0,164,110326,2.0,405866,0,88872,,0.0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,1e-05,0.0,,201,F_catanatus,
