assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,bases_n,proportion_n,CRBB_hits,n_contigs_with_CRBB,p_contigs_with_CRBB,rbh_per_reference,n_refs_with_CRBB,p_refs_with_CRBB,cov25,p_cov25,cov50,p_cov50,cov75,p_cov75,cov85,p_cov85,cov95,p_cov95,reference_coverage,score,optimal_score,cutoff,weighted
/home/ljcohen/public_html/killifish/transcriptome_assemblies/F_rathbuni.trinity_out.Trinity.fasta,501222,201,22367,456359684,910.49412,0,121813,392,94528,43.71317,315,875,1939,3236,5415,0.45721,0,0.0,170698,170698,0.34056,4.14617,30202,0.73359,15252,0.37046,11139,0.27056,7294,0.17717,5765,0.14003,4050,0.09837,0.26083,,,,
/home/ljcohen/public_html/killifish/transcriptome_assemblies/F_chrysotus.trinity_out.Trinity.fasta,396400,201,18920,372175608,938.88902,0,106644,161,83803,43.69029,328,954,1903,3070,5102,0.4573,0,0.0,155224,155224,0.39158,3.77032,28911,0.70223,14765,0.35863,10312,0.25047,6316,0.15341,4797,0.11652,3200,0.07773,0.24119,,,,
/home/ljcohen/public_html/killifish/transcriptome_assemblies/F_sciadicus.trinity_out.Trinity.fasta,241279,201,20813,251348737,1041.73483,0,69167,280,59089,46.87986,349,1163,2290,3603,6059,0.46672,0,0.0,100244,100244,0.41547,2.43488,26105,0.63408,12845,0.312,9439,0.22927,6202,0.15064,4882,0.11858,3352,0.08142,0.22221,,,,
/home/ljcohen/public_html/killifish/transcriptome_assemblies/L_parva.trinity_out.Trinity.fasta,409543,201,24287,354471244,865.52876,0,101279,149,77305,45.45166,309,819,1683,2777,4884,0.4596,0,0.0,140204,140204,0.34234,3.40549,28547,0.69339,14069,0.34173,9933,0.24127,6041,0.14673,4588,0.11144,3100,0.0753,0.23029,,,,
/home/ljcohen/public_html/killifish/transcriptome_assemblies/F_heteroclitusMDPP.trinity_out.Trinity.fasta,668487,201,19937,432448617,646.90655,0,106419,42,82970,46.99285,268,477,1010,1932,3537,0.44529,0,0.0,195978,195978,0.29317,4.76021,31457,0.76408,16092,0.39087,11010,0.26743,6913,0.16791,5507,0.13376,3935,0.09558,0.2619,,,,
/home/ljcohen/public_html/killifish/transcriptome_assemblies/F_notatus.trinity_out.Trinity.fasta,416299,201,24934,409660177,984.05275,0,116957,322,90773,42.90191,341,1032,2017,3249,5419,0.45893,0,0.0,162625,162625,0.39064,3.95009,29228,0.70993,15089,0.3665,10680,0.25941,6623,0.16087,5092,0.12368,3410,0.08283,0.25247,,,,
/home/ljcohen/public_html/killifish/transcriptome_assemblies/F_notti.trinity_out.Trinity.fasta,159771,201,16855,160152766,1002.38946,0,44756,119,41330,50.11518,344,1066,2130,3379,5659,0.4683,0,0.0,72349,72349,0.45283,1.75732,23328,0.56663,11456,0.27826,8338,0.20253,5526,0.13422,4404,0.10697,3011,0.07314,0.19585,,,,
/home/ljcohen/public_html/killifish/transcriptome_assemblies/F_parvapinis.trinity_out.Trinity.fasta,352346,201,40588,346287310,982.80471,0,86870,547,71480,44.31392,322,1037,2347,3856,6484,0.45978,0,0.0,108040,108040,0.30663,2.62424,26009,0.63175,12609,0.30627,9467,0.22995,6167,0.14979,4796,0.11649,3203,0.0778,0.21762,,,,
/home/ljcohen/public_html/killifish/transcriptome_assemblies/A_xenica.trinity_out.Trinity.fasta,362783,201,21484,347956455,959.13109,0,99994,235,80788,45.44903,335,987,1942,3108,5273,0.46369,0,0.0,138166,138166,0.38085,3.35599,27996,0.68001,14040,0.34103,9978,0.24236,6075,0.14756,4601,0.11176,3041,0.07386,0.23096,,,,
/home/ljcohen/public_html/killifish/transcriptome_assemblies/F_olivaceous.trinity_out.Trinity.fasta,350265,201,18651,361385955,1031.75012,0,98290,429,77240,43.55405,343,1148,2293,3653,6071,0.46132,0,0.0,132716,132716,0.3789,3.22361,28187,0.68465,14064,0.34161,10349,0.25137,6835,0.16602,5419,0.13162,3784,0.09191,0.24379,,,,
