GeneID	Method	xFPKM	o12Ortho	o3ProtHomology	o3Species	o4GenomHomol	o5KaKs	g1GenoMap	gGenoCov	p12Complete	p3CDS	p4CodePot	tClass	t1aOneExon
Funhe2EKm000003t1	rnasm	0.1	orlog	91%	platyfish	100	0.163	okay	100	complete	97	Code	CodingOld	0
Funhe2EKm000004t1	rnasm	7	orlog	100%	platyfish	100	0.185	okay	91	complete	67	Code	CodingOld	0
Funhe2EKm000005t1	rnasm	5	orlog	100%	platyfish	98	0.129	okay	90	complete	72	Code	CodingOld	0
Funhe2EKm000006t1	rnasm	2	orlog	100%	platyfish	100	0.258	okay	100	complete	85	Code	CodingOld	0
Funhe2EKm000007t1	rnasm	8	orlog	100%	platyfish	100	0.118	okay	96	complete	33	Code	CodingOld	0
Funhe2EKm000008t1	gmodel	1	orlog	100%	mayzebr	100	0.333	okay	100	complete	84	Code	CodingOld	0
Funhe2EKm000009t1	rnasm	2	upar	34%	zfish	0	NA	okay	100	partial	100	Noncode	CodingOld	0
Funhe2EKm000010t1	rnasm	1000	orlog	100%	platyfish	96	0.100	okay	99	complete	62	Code	CodingOld	0
Funhe2EKm000011t1	rnasm	10	orlog	100%	platyfish	99	0.092	split	99	complete	98	Code	CodingOld	0
Funhe2EKm000012t1	rnasm	10	orlog	100%	platyfish	100	0.059	okay	99	complete	71	Code	CodingOld	0
Funhe2EKm000013t1	rnasm	50	orlog	100%	platyfish	100	0.040	okay	100	complete	74	Code	CodingOld	0
Funhe2EKm000014t1	rnasm	4	orlog	98%	platyfish	77	0.352	part	78	complete	64	Code	CodingOld	0
Funhe2EKm000016t1	gmodel	0.9	noor	0	na	83	0.228	okay	100	complete	28	Noncode	CodingOld	0
Funhe2EKm000017t1	rnasm	40	orlog	100%	tilapia	100	0.058	okay	100	complete	61	Code	CodingOld	0
Funhe2EKm000018t1	rnasm	2	orlog	100%	medaka	70	NA	okay	93	complete	70	Code	CodingOld	0
Funhe2EKm000019t1	rnasm	10	orlog	90%	platyfish	97	0.360	okay	85	complete	74	Code	CodingOld	0
Funhe2EKm000020t1	v1mix	0.1	noor	0	na	79	NA	okay	100	partial	40	Noncode	NoncodeOld	0
Funhe2EKm000021t1	rnasm	10	orlog	88%	platyfish	100	0.124	okay	81	complete	82	Code	CodingOld	0
Funhe2EKm000022t1	gmodel	2	noor	18%	mayzebr	38	0.539	okay	100	complete	61	Unknown	Transposon	0
Funhe2EKm000023t1	rnasm	1	orlog	100%	platyfish	100	0.036	okay	100	complete	46	Code	CodingOld	1
Funhe2EKm000024t1	rnasm	7	orlog	98%	tilapia	97	0.171	okay	84	complete	71	Code	CodingOld	0
Funhe2EKm000025t1	rnasm	2	orlog	99%	platyfish	85	0.179	part	71	complete	58	Code	CodingOld	0
Funhe2EKm000028t1	rnasm	3	orlog	9%	mayzebr	100	0.195	okay	99	partial	81	Code	CodingOld	0
Funhe2EKm000029t1	rnasm	2	orlog	77%	mayzebr	100	0.384	okay	100	complete	86	Code	CodingOld	0
Funhe2EKm000030t1	rnasm	6	orlog	100%	platyfish	72	0.230	okay	89	complete	65	Code	CodingOld	0
Funhe2EKm000031t1	rnasm	80	orlog	95%	mayzebr	99	0.205	okay	100	partial	71	Code	CodingOld	0
Funhe2EKm000032t1	rnasm	1000	orlog	97%	platyfish	100	0.059	okay	88	complete	81	Code	CodingOld	0
Funhe2EKm000033t1	rnasm	40	orlog	100%	platyfish	100	0.194	okay	91	complete	53	Code	CodingOld	0
Funhe2EKm000034t1	rnasm	10	orlog	100%	platyfish	100	0.073	okay	93	complete	64	Code	CodingOld	0
Funhe2EKm000035t1	rnasm	10	orlog	100%	platyfish	100	0.113	okay	100	partial	74	Code	CodingOld	0
Funhe2EKm000036t1	rnasm	1	noor	53%	catfish	98	NA	part	79	complete	58	Code	CodingOld	1
Funhe2EKm000037t1	rnasm	10	orlog	100%	mayzebr	100	0.256	okay	99	complete	85	Code	CodingOld	0
Funhe2EKm000039t1	rnasm	9	orlog	100%	platyfish	100	0.029	okay	88	complete	88	Code	CodingOld	0
Funhe2EKm000040t1	v1mix	30	inpar	100%	platyfish	91	NA	okay	100	complete	25	Code	CodingOld	0
Funhe2EKm000041t1	rnasm	30	inpar	100%	platyfish	100	NA	part	53	complete	8	Code	CodingOld	1
Funhe2EKm000042t1	rnasm	500	orlog	96%	platyfish	100	0.053	okay	99	partial	99	Code	CodingOld	0
Funhe2EKm000044t1	gmodel	0.3	upar	41%	platyfish	46	0.316	okay	100	complete	56	Noncode	Transposon	0
Funhe2EKm000045t1	rnasm	3	orlog	100%	mayzebr	83	0.207	okay	91	complete	62	Code	CodingOld	0
Funhe2EKm000046t1	rnasm	4	orlog	88%	platyfish	76	0.282	okay	92	complete	39	Code	CodingOld	0
Funhe2EKm000047t1	rnasm	100	orlog	100%	platyfish	100	0.034	okay	100	complete	66	Code	CodingOld	0
Funhe2EKm000048t1	rnasm	20	orlog	100%	platyfish	96	0.107	okay	100	complete	91	Code	CodingOld	0
Funhe2EKm000050t1	rnasm	4	orlog	100%	platyfish	100	0.178	okay	99	complete	81	Code	CodingOld	0
Funhe2EKm000051t1	rnasm	10	orlog	100%	tilapia	100	0.062	okay	92	complete	77	Code	CodingOld	0
Funhe2EKm000052t1	rnasm	8	orlog	100%	platyfish	100	0.133	okay	80	complete	70	Code	CodingOld	0
Funhe2EKm000053t1	rnasm	30	orlog	100%	platyfish	100	0.099	okay	97	complete	92	Code	CodingOld	0
Funhe2EKm000054t1	rnasm	10	orlog	100%	platyfish	95	0.133	okay	81	partial	65	Code	CodingOld	0
Funhe2EKm000055t1	rnasm	20	orlog	100%	platyfish	100	0.104	okay	100	complete	56	Code	CodingOld	0
Funhe2EKm000057t1	rnasm	30	orlog	97%	stickleback	88	0.278	part	72	complete	79	Code	CodingOld	0
Funhe2EKm000059t1	rnasm	10	orlog	100%	mayzebr	74	0.252	okay	100	complete	80	Code	CodingOld	0
Funhe2EKm000061t1	rnasm	3	orlog	100%	platyfish	100	0.100	okay	93	complete	64	Code	CodingOld	0
Funhe2EKm000062t1	rnasm	40	orlog	100%	tilapia	94	0.285	okay	96	partial	83	Code	CodingOld	0
Funhe2EKm000063t1	rnasm	4	orlog	100%	mayzebr	100	0.373	okay	100	complete	77	Code	CodingOld	0
Funhe2EKm000064t1	rnasm	0.7	orlog	99%	tilapia	100	0.189	okay	100	complete	76	Code	CodingOld	0
Funhe2EKm000065t1	rnasm	30	orlog	100%	platyfish	96	0.037	okay	100	complete	89	Code	CodingOld	0
Funhe2EKm000066t1	rnasm	70	orlog	100%	platyfish	100	0.271	okay	99	partial	83	Code	CodingOld	0
Funhe2EKm000067t1	rnasm	10	orlog	100%	platyfish	98	0.078	okay	100	complete	39	Code	CodingOld	0
Funhe2EKm000068t1	rnasm	3	orlog	100%	platyfish	99	0.106	okay	94	complete	72	Code	CodingOld	0
Funhe2EKm000069t1	rnasm	20	orlog	100%	platyfish	100	0.090	okay	99	complete	46	Code	CodingOld	0
Funhe2EKm000070t1	rnasm	30	orlog	100%	platyfish	100	0.066	okay	96	complete	62	Code	CodingOld	0
Funhe2EKm000071t1	gmodel	6	orlog	100%	platyfish	77	0.097	okay	100	complete	60	Code	CodingOld	0
Funhe2EKm000072t1	gmodel	0.06	noor	34%	mayzebr	73	NA	okay	100	complete	29	Code	CodingOld	0
Funhe2EKm000073t1	rnasm	1	orlog	100%	platyfish	100	0.195	okay	100	complete	80	Code	CodingOld	0
Funhe2EKm000075t1	gmodel	10	orlog	52%	platyfish	99	0.100	okay	100	complete	79	Code	CodingOld	0
Funhe2EKm000077t1	gmodel	0.6	noor	0	na	64	NA	okay	100	complete	36	Noncode	NoncodeOld	0
Funhe2EKm000078t1	rnasm	20	orlog	100%	platyfish	94	0.060	okay	82	complete	65	Code	CodingOld	0
Funhe2EKm000079t1	rnasm	5	orlog	79%	mayzebr	100	0.229	part	68	complete	92	Code	CodingOld	0
Funhe2EKm000080t1	v1mix	2	orlog	29%	platyfish	43	0.240	okay	100	complete	21	Code	CodingOld	0
Funhe2EKm000081t1	rnasm	100	orlog	77%	platyfish	100	0.096	split	91	complete	66	Code	CodingOld	0
Funhe2EKm000084t1	rnasm	5	orlog	100%	platyfish	100	0.064	okay	93	complete	46	Code	CodingOld	0
Funhe2EKm000085t1	rnasm	6	orlog	100%	platyfish	100	0.032	okay	100	complete	84	Code	CodingOld	0
Funhe2EKm000086t1	rnasm	10	noor	0	na	100	NA	okay	94	complete	13	Noncode	NoncodeOld	0
Funhe2EKm000087t1	rnasm	2	orlog	90%	platyfish	62	0.130	part	75	partial	31	Code	Transposon	0
Funhe2EKm000088t1	rnasm	70	orlog	100%	platyfish	91	0.087	okay	97	partial	70	Code	CodingOld	0
Funhe2EKm000089t1	rnasm	70	orlog	100%	platyfish	100	0.044	okay	92	complete	89	Code	CodingOld	0
Funhe2EKm000090t1	rnasm	20	orlog	96%	platyfish	100	0.039	split	90	partial	100	Code	CodingOld	0
Funhe2EKm000091l2t1	v1mix	0	orlog	72%	platyfish	76	0.182	okay	100	complete	75	Code	CodingOld	0
Funhe2EKm000091t1	rnasm	300	orlog	100%	stickleback	88	0.080	okay	89	partial	66	Code	CodingOld	0
Funhe2EKm000092t1	v1mix	20	orlog	44%	platyfish	90	0.015	split	100	complete	39	Code	CodingOld	0
Funhe2EKm000093t1	rnasm	6	orlog	100%	platyfish	100	0.213	okay	99	partial	99	Code	CodingOld	1
Funhe2EKm000094t1	rnasm	10	orlog	93%	platyfish	100	0.051	okay	84	complete	56	Code	CodingOld	0
Funhe2EKm000095t1	rnasm	700	orlog	100%	platyfish	100	0.071	okay	100	complete	71	Code	CodingOld	0
Funhe2EKm000096t1	v1mix	0.9	orlog	98%	mayzebr	100	0.050	okay	100	complete	69	Code	CodingOld	0
Funhe2EKm000097t1	gmodel	10	orlog	44%	platyfish	23	0.030	okay	100	complete	39	Code	CodingOld	0
Funhe2EKm000098t1	rnasm	0.7	noor	0	na	37	NA	part	73	complete	40	Noncode	NoncodeOld	0
Funhe2EKm000099t1	rnasm	10	orlog	68%	mayzebr	100	0.065	okay	94	complete	89	Code	CodingOld	0
Funhe2EKm000100t1	rnasm	3	orlog	100%	platyfish	100	0.171	okay	98	complete	95	Code	CodingOld	0
Funhe2EKm000101t1	rnasm	8	orlog	100%	platyfish	100	0.084	okay	94	complete	89	Code	CodingOld	0
Funhe2EKm000102t1	rnasm	10	orlog	99%	platyfish	99	0.047	okay	100	complete	93	Code	CodingOld	0
Funhe2EKm000103t1	rnasm	5	orlog	100%	platyfish	84	0.021	okay	92	complete	48	Code	CodingOld	0
Funhe2EKm000104t1	rnasm	400	orlog	98%	platyfish	100	0.135	okay	96	complete	63	Code	CodingOld	0
Funhe2EKm000105t1	rnasm	50	orlog	90%	mayzebr	79	0.146	part	72	complete	33	Unknown	CodingOld	0
Funhe2EKm000106t1	rnasm	20	orlog	83%	mayzebr	100	0.225	okay	91	partial	93	Code	CodingOld	0
Funhe2EKm000107t1	rnasm	2	inpar	100%	platyfish	98	NA	okay	94	complete	74	Code	CodingOld	0
Funhe2EKm000108t1	rnasm	0.8	inpar	100%	catfish	89	NA	okay	100	complete	87	Code	CodingOld	0
Funhe2EKm000110t1	gmodel	3	inpar	99%	stickleback	92	NA	okay	100	complete	88	Code	CodingOld	0
Funhe2EKm000111t1	gmodel	90	inpar	96%	platyfish	77	NA	okay	100	complete	69	Code	CodingOld	0
Funhe2EKm000112t1	rnasm	10	orlog	100%	platyfish	100	0.280	okay	91	complete	82	Code	CodingOld	0
Funhe2EKm000113t1	v1mix	2	inpar	100%	platyfish	90	NA	okay	100	complete	69	Code	CodingOld	0
Funhe2EKm000114t1	gmodel	0.8	inpar	100%	catfish	62	NA	okay	100	complete	61	Code	CodingOld	0
Funhe2EKm000115t1	rnasm	4	inpar	99%	stickleback	100	NA	okay	85	partial	82	Code	CodingOld	0
Funhe2EKm000116t1	rnasm	60	inpar	100%	platyfish	100	NA	okay	85	complete	83	Code	CodingOld	0
Funhe2EKm000117t1	rnasm	6	orlog	100%	mayzebr	100	0.173	okay	85	complete	74	Code	CodingOld	0
Funhe2EKm000123t1	rnasm	3	orlog	90%	platyfish	100	0.137	okay	100	complete	60	Code	CodingOld	0
Funhe2EKm000124t1	rnasm	2	orlog	100%	platyfish	87	0.337	okay	85	complete	59	Code	CodingOld	1
Funhe2EKm000125t1	gmodel	20	orlog	100%	platyfish	100	0.114	okay	100	complete	83	Code	CodingOld	0
Funhe2EKm000126t1	rnasm	40	noor	36%	platyfish	52	0.159	okay	96	partial	49	Noncode	Transposon	1
Funhe2EKm000127t1	rnasm	100	noor	17%	medaka	100	NA	okay	97	partial	85	Code	CodingOld	0
Funhe2EKm000128t1	gmodel	6	orlog	100%	mayzebr	100	0.021	okay	100	complete	74	Code	CodingOld	0
Funhe2EKm000129t1	gmodel	10	orlog	99%	platyfish	100	0.016	okay	100	complete	61	Code	CodingOld	0
Funhe2EKm000130t1	rnasm	1	orlog	99%	spotgar	100	0.121	okay	99	complete	72	Code	CodingOld	1
Funhe2EKm000131t1	v1mix	10	orlog	100%	tetraodon	99	0.007	okay	100	complete	21	Code	CodingOld	1
Funhe2EKm000132t1	rnasm	3	orlog	100%	platyfish	100	0.241	okay	100	complete	77	Code	CodingOld	0
Funhe2EKm000133t1	rnasm	200	orlog	80%	tilapia	100	0.079	okay	92	partial	91	Code	CodingOld	0
Funhe2EKm000134t1	rnasm	70	noor	0	na	0	NA	part	66	complete	28	Noncode	NoncodeNew	0
Funhe2EKm000135t1	rnasm	8	orlog	100%	platyfish	92	0.271	okay	93	complete	81	Code	CodingOld	0
Funhe2EKm000136t1	rnasm	10	orlog	100%	platyfish	100	0.037	okay	100	complete	84	Code	CodingOld	0
Funhe2EKm000137t1	rnasm	30	orlog	98%	platyfish	100	0.073	split	100	complete	61	Code	CodingOld	0
Funhe2EKm000138t1	rnasm	10	orlog	77%	tilapia	59	0.213	okay	98	complete	61	Code	CodingOld	0
Funhe2EKm000139t1	rnasm	10	orlog	100%	platyfish	100	0.052	okay	99	complete	71	Code	CodingOld	0
Funhe2EKm000140t1	rnasm	6	orlog	100%	platyfish	87	0.032	part	79	complete	33	Code	CodingOld	0
Funhe2EKm000141t1	rnasm	5	orlog	100%	platyfish	100	0.014	okay	100	complete	87	Code	CodingOld	0
Funhe2EKm000142t1	rnasm	1	orlog	100%	platyfish	95	0.367	okay	93	complete	66	Code	CodingOld	0
Funhe2EKm000143t1	rnasm	10	orlog	85%	mayzebr	100	0.202	part	79	partial	53	Code	CodingOld	0
Funhe2EKm000144t1	rnasm	7	orlog	100%	platyfish	100	0.024	okay	100	complete	82	Code	CodingOld	0
Funhe2EKm000145t1	gmodel	0.1	upar	100%	catfish	62	0.132	okay	100	complete	57	Unknown	Transposon	0
Funhe2EKm000147t1	rnasm	20	orlog	100%	tilapia	100	0.115	okay	100	complete	87	Code	CodingOld	0
Funhe2EKm000148t1	v1mix	3	orlog	99%	mayzebr	100	0.356	okay	100	complete	67	Code	CodingOld	0
Funhe2EKm000149t1	gmodel	0.01	orlog	88%	platyfish	63	NA	okay	100	complete	68	Noncode	CodingOld	0
Funhe2EKm000150t1	rnasm	0.7	orlog	100%	platyfish	100	0.359	okay	100	complete	76	Code	CodingOld	0
Funhe2EKm000151t1	rnasm	0.4	orlog	100%	mayzebr	100	0.605	okay	100	complete	82	Code	CodingOld	0
Funhe2EKm000152t1	rnasm	1	orlog	100%	tilapia	100	0.036	okay	100	complete	89	Code	CodingOld	0
Funhe2EKm000153t1	rnasm	10	orlog	100%	tilapia	100	0.052	okay	95	complete	45	Code	CodingOld	0
Funhe2EKm000154t1	rnasm	30	orlog	100%	platyfish	100	0.135	okay	100	partial	60	Code	CodingOld	0
Funhe2EKm000155t1	v1mix	7	orlog	97%	platyfish	59	0.036	okay	100	complete	76	Code	CodingOld	0
Funhe2EKm000157t1	rnasm	3	orlog	100%	platyfish	90	0.050	okay	86	complete	83	Code	CodingOld	0
Funhe2EKm000158t1	gmodel	40	orlog	100%	platyfish	100	0.027	okay	100	complete	45	Code	CodingOld	0
Funhe2EKm000159t1	rnasm	10	orlog	100%	tilapia	100	0.049	okay	98	complete	87	Code	CodingOld	0
Funhe2EKm000160t1	rnasm	3	orlog	100%	platyfish	100	0.174	okay	100	complete	92	Code	CodingOld	0
Funhe2EKm000161t1	rnasm	30	orlog	100%	platyfish	94	0.140	okay	99	complete	46	Code	CodingOld	0
Funhe2EKm000163t1	v1mix	0.2	orlog	100%	platyfish	93	0.173	okay	100	complete	60	Code	CodingOld	0
Funhe2EKm000164t1	rnasm	70	orlog	100%	platyfish	86	0.145	okay	99	partial	41	Unknown	CodingOld	0
Funhe2EKm000165t1	v1mix	10	orlog	100%	platyfish	100	0.044	okay	100	complete	52	Code	CodingOld	0
Funhe2EKm000166t1	rnasm	4	orlog	100%	mayzebr	100	0.129	okay	96	complete	80	Code	CodingOld	0
Funhe2EKm000167t1	rnasm	10	orlog	100%	platyfish	100	0.028	okay	84	complete	91	Code	CodingOld	0
Funhe2EKm000168t1	gmodel	2	orlog	100%	platyfish	100	0.347	okay	100	complete	89	Code	CodingOld	0
Funhe2EKm000170t1	rnasm	4	orlog	100%	mayzebr	100	0.036	okay	93	complete	41	Code	CodingOld	0
Funhe2EKm000171t1	gmodel	90	orlog	100%	tetraodon	100	0.138	okay	100	complete	80	Code	CodingOld	0
Funhe2EKm000172t1	rnasm	60	orlog	100%	platyfish	98	0.037	part	73	complete	78	Code	CodingOld	0
Funhe2EKm000173t1	gmodel	40	orlog	100%	mayzebr	37	0.176	okay	100	complete	27	Code	CodingOld	0
Funhe2EKm000174t1	rnasm	30	orlog	100%	mayzebr	98	0.051	okay	84	complete	93	Code	CodingOld	0
Funhe2EKm000175t1	rnasm	90	orlog	92%	platyfish	100	0.032	okay	100	complete	60	Code	CodingOld	0
Funhe2EKm000177t1	rnasm	9	orlog	100%	platyfish	100	0.072	okay	98	complete	78	Code	CodingOld	0
Funhe2EKm000178t1	rnasm	10	orlog	100%	platyfish	100	0.185	part	77	complete	54	Code	CodingOld	0
Funhe2EKm000180t1	rnasm	7	orlog	100%	platyfish	100	0.382	okay	99	complete	90	Code	CodingOld	0
Funhe2EKm000181t1	rnasm	10	orlog	100%	platyfish	100	0.010	okay	99	complete	72	Code	CodingOld	0
Funhe2EKm000182t1	rnasm	8	orlog	98%	mayzebr	98	0.086	okay	90	partial	92	Code	CodingOld	0
Funhe2EKm000183t1	rnasm	9	orlog	100%	platyfish	100	0.258	okay	95	complete	85	Code	CodingOld	0
Funhe2EKm000184t1	rnasm	10	orlog	100%	platyfish	100	0.149	okay	98	complete	61	Code	CodingOld	0
Funhe2EKm000185t1	rnasm	50	orlog	100%	platyfish	100	0.175	okay	100	complete	78	Code	CodingOld	0
Funhe2EKm000186t1	rnasm	50	orlog	100%	platyfish	100	0.094	okay	100	complete	87	Code	CodingOld	0
Funhe2EKm000187t1	gmodel	20	orlog	86%	medaka	81	0.349	okay	100	complete	58	Code	CodingOld	0
Funhe2EKm000188t1	rnasm	30	orlog	100%	platyfish	100	0.053	okay	99	complete	86	Code	CodingOld	0
Funhe2EKm000189t1	rnasm	6	orlog	71%	mayzebr	100	0.361	okay	100	partial	76	Code	CodingOld	0
Funhe2EKm000190t1	v1mix	5	orlog	82%	platyfish	99	0.156	okay	100	complete	72	Unknown	CodingOld	1
Funhe2EKm000191t1	rnasm	9	orlog	100%	platyfish	87	0.116	split	100	complete	46	Code	CodingOld	0
Funhe2EKm000192t1	rnasm	1	orlog	100%	tilapia	100	0.033	okay	100	complete	60	Code	CodingOld	0
Funhe2EKm000193t1	rnasm	30	orlog	87%	platyfish	100	0.048	part	63	complete	93	Code	CodingOld	0
Funhe2EKm000194t1	rnasm	5	orlog	100%	tilapia	100	0.034	okay	91	complete	57	Code	CodingOld	0
Funhe2EKm000195t1	gmodel	0.04	orlog	48%	catfish	77	0.573	okay	100	complete	38	Code	Transposon	0
Funhe2EKm000196t1	gmodel	0.1	noor	34%	catfish	32	0.096	okay	100	complete	67	Code	Transposon	0
Funhe2EKm000198t1	rnasm	200	orlog	100%	medaka	100	0.090	okay	100	complete	70	Code	CodingOld	0
Funhe2EKm000199t1	rnasm	1	orlog	95%	catfish	100	0.146	okay	100	complete	66	Code	CodingOld	0
Funhe2EKm000200t1	gmodel	6	orlog	100%	platyfish	99	0.292	okay	100	complete	69	Code	CodingOld	0
Funhe2EKm000201t1	rnasm	1	orlog	80%	platyfish	87	0.340	okay	93	complete	47	Code	CodingOld	0
Funhe2EKm000202t1	rnasm	20	orlog	100%	mayzebr	100	NA	okay	100	complete	32	Code	CodingOld	0
